Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0805,3,0.1u,
C4,0805,1,10u,
"C5, C6",0805,2,22p,
C7,0805,1,1u,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D7, D8, D9",D_SOD-123,67,1N4148,
F1,1206,1,500mA,
J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,JST SH 4-pin,
J2,ISP,1,AVR-ISP-6,
"MX1, MX10, MX11, MX12, MX13, MX15, MX17, MX18, MX19, MX2, MX20, MX21, MX22, MX23, MX24, MX25, MX26, MX27, MX28, MX3, MX30, MX32, MX33, MX34, MX35, MX36, MX37, MX38, MX39, MX4, MX40, MX41, MX42, MX44, MX46, MX47, MX48, MX49, MX5, MX50, MX51, MX52, MX53, MX54, MX55, MX57, MX58, MX6, MX65, MX66, MX67, MX7, MX8, MX9",MXOnly-1U-Hotswap,54,1u,
MX14,MXOnly-2U-Hotswap,1,2u,
"MX16, MX29",MXOnly-1.5U-Hotswap,2,1.5u,
"MX31, MX56",MXOnly-1.75U-Hotswap,2,1.75u,
"MX43, MX45",MXOnly-2.25U-Hotswap,2,2.25u,
"MX59, MX60, MX61, MX63, MX64",MXOnly-1.25U-Hotswap,5,1.25u,
MX62,MXOnly-6.25U-Hotswap-ReversedStabilizers,1,6.25u,
"R1, R4",0805,2,10k,
"R2, R3",0805,2,22,
SW1,SW_SPST_TL3342,1,Reset,
U1,SOT-23-6,1,SRV05-4,
U2,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,1,ATmega32U4-MUR,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,
