Designator,Mid X,Mid Y,Rotation,Layer
C1,162.73,-82.05,270.0,bottom
C2,142.74375,-86.68875,180.0,bottom
C3,160.0,-89.45,0.0,bottom
C4,145.85,-76.32,270.0,bottom
C5,166.53,-83.0,0.0,bottom
C6,166.53,-88.6,0.0,bottom
C7,153.61,-75.62,270.0,bottom
D1,1.68125,-11.90625,90.0,bottom
D10,173.15,-11.90625,90.0,bottom
D11,192.2,-11.90625,90.0,bottom
D12,211.25,-11.90625,90.0,bottom
D13,230.3,-11.90625,90.0,bottom
D14,258.875,-11.90625,90.0,bottom
D15,287.45,-11.90625,90.0,bottom
D16,6.4625,-30.95625,90.0,bottom
D17,30.275,-30.95625,90.0,bottom
D18,49.325,-30.95625,90.0,bottom
D19,68.375,-30.95625,90.0,bottom
D2,20.75,-11.90625,90.0,bottom
D20,87.425,-30.95625,90.0,bottom
D21,106.475,-30.95625,90.0,bottom
D22,125.525,-30.95625,90.0,bottom
D23,144.575,-30.95625,90.0,bottom
D24,163.625,-30.95625,90.0,bottom
D25,182.675,-30.95625,90.0,bottom
D26,201.725,-30.95625,90.0,bottom
D27,220.775,-30.95625,90.0,bottom
D28,239.825,-30.95625,90.0,bottom
D29,263.6375,-30.95625,90.0,bottom
D3,39.8,-11.90625,90.0,bottom
D30,287.45,-30.95625,90.0,bottom
D31,8.84375,-50.00625,90.0,bottom
D32,35.0375,-50.00625,90.0,bottom
D33,54.0875,-50.00625,90.0,bottom
D34,73.1375,-50.00625,90.0,bottom
D35,92.1875,-50.00625,90.0,bottom
D36,111.2375,-50.00625,90.0,bottom
D37,130.2875,-50.00625,90.0,bottom
D38,149.3375,-50.00625,90.0,bottom
D39,168.3875,-50.00625,90.0,bottom
D4,58.85,-11.90625,90.0,bottom
D40,187.4375,-50.00625,90.0,bottom
D41,206.4875,-50.00625,90.0,bottom
D42,225.5375,-50.00625,90.0,bottom
D43,256.49375,-50.00625,90.0,bottom
D44,287.45,-50.00625,90.0,bottom
D45,13.60625,-69.05625,90.0,bottom
D46,44.5625,-69.05625,90.0,bottom
D47,63.6125,-69.05625,90.0,bottom
